furries_known_in_person,count
0,1611
1,818
2,547
3,411
4,242
5,242
6,132
7,88
8,91
9,41
10,210
11,29
12,66
13,34
14,23
15,127
16,17
17,13
18,10
19,7
20,227
21,7
22,9
23,13
24,13
25,89
26,6
27,10
28,2
29,4
30,180
32,6
33,3
34,4
35,25
36,4
37,4
38,1
39,1
40,98
41,1
42,6
43,1
44,2
45,18
46,2
47,4
48,1
49,1
50,232
51,1
52,1
53,1
55,4
56,1
57,2
58,1
59,1
60,41
62,1
64,1
65,4
66,1
67,1
70,18
72,1
73,2
74,1
75,14
80,29
84,1
85,5
87,1
90,6
95,1
99,1
100,193
101,1
102,1
104,1
106,2
107,1
109,1
115,1
120,10
121,1
125,1
130,3
139,1
140,2
143,1
145,1
150,28
151,1
166,1
170,1
171,1
195,1
198,1
200,82
210,1
225,1
250,18
300,26
339,1
350,3
400,2
450,1
